"system"	"stat"	"opt_int"	"opt_uni"	"int_uni"
Ant	nrow1	28867	28867	28701
Ant	nrow2	28701	28520	28520
Ant	r	0.716660889149509	0.727843794130035	0.266410865224452
Ant	Z	171.950829365679	174.359230765292	63.7279069074356
Ant	medianDiff	0.302681992337165	0.386201936180995	0.0835199438438304
Ant	p	0	0	0
ArgoUML	nrow1	15885	15885	17809
ArgoUML	nrow2	17809	17979	17979
ArgoUML	r	0.608772977271221	0.673770850818433	0.278876263371721
ArgoUML	Z	111.745914012588	123.988482877839	52.7570210692429
ArgoUML	medianDiff	0.107660455486542	0.156966792194454	0.0493063367079115
ArgoUML	p	0	0	0
Commons Imaging	nrow1	14966	14966	16944
Commons Imaging	nrow2	16944	16696	16696
Commons Imaging	r	0.289734832384439	0.355796007938553	0.0803859225651208
Commons Imaging	Z	51.7564061205965	63.3096982012137	14.743751212943
Commons Imaging	medianDiff	0.0615634969550436	0.0801101591187271	0.0185466621636835
Commons Imaging	p	0	0	0
JabRef	nrow1	25075	25075	22498
JabRef	nrow2	22498	22140	22140
JabRef	r	0.36608940200538	0.45315780620015	0.129214067576978
JabRef	Z	79.8486221124085	98.4667179988755	27.2999695063274
JabRef	medianDiff	0.026040167189466	0.03714063020703	0.011100463017564
JabRef	p	0	0	0
Lucene	nrow1	23668	23668	23415
Lucene	nrow2	23415	25009	25009
Lucene	r	0.397922561716241	0.45696585960524	0.0782879725647589
Lucene	Z	86.3436944836015	100.819759457222	17.2276236880569
Lucene	medianDiff	0.0376886285704888	0.0445334248759482	0.00684479630545942
Lucene	p	0	0	0
ProM	nrow1	31971	31971	32128
ProM	nrow2	32128	31137	31137
ProM	r	0.273655155696758	0.284077502682438	0.00574691051647624
ProM	Z	69.2834111357285	71.3639778696617	1.44549365973865
ProM	medianDiff	0.023605892821831	0.0250004905904747	0.0013945977686437
ProM	p	0	0	0.148319272627263
Sweet Home 3D	nrow1	28583	28583	29898
Sweet Home 3D	nrow2	29898	31172	31172
Sweet Home 3D	r	0.625319723479172	0.656751200817622	0.112015238339443
Sweet Home 3D	Z	151.220100479702	160.541753018579	27.6815922552912
Sweet Home 3D	medianDiff	0.218970607110769	0.244897959183673	0.0259273520729047
Sweet Home 3D	p	0	0	0
Teammates	nrow1	19259	19259	22602
Teammates	nrow2	22602	23215	23215
Teammates	r	0.772264333854728	0.80278012678838	0.432841908497331
Teammates	Z	158.00498074575	165.446732377341	92.6494035546134
Teammates	medianDiff	0.248975686861754	0.345901326722423	0.0969256398606694
Teammates	p	0	0	0
