g3n3z: optimization of dependency weights using a genetic algorithm approach.
	g3n3z is a part of s4rdm3x tobias-dv-lnu.github.io/s4rdm3x/

Algorithm Parameters:
	system:	ArgoUML
	individuals:	30
	generations:	300
	mutation chance:	0.1
	mutation amplitude:	0.2
	max age:	10
	tournament size:	4
	seed:	-88101002
Evaluating generation: 0
		Individual Median F1: 0.629447658036391
		Individual Median F1: 0.714200144871009
		Individual Median F1: 0.6997382177470314
		Individual Median F1: 0.7034230227139123
		Individual Median F1: 0.6524002997909353
		Individual Median F1: 0.6811473127262602
		Individual Median F1: 0.6806588203914247
		Individual Median F1: 0.6588101407496931
		Individual Median F1: 0.7097222222222221
		Individual Median F1: 0.638502934239231
		Individual Median F1: 0.6999031463202723
		Individual Median F1: 0.6757405515832482
		Individual Median F1: 0.7923386134265227
		Individual Median F1: 0.7924975895678406
		Individual Median F1: 0.773398102937645
		Individual Median F1: 0.6986281825380407
		Individual Median F1: 0.6368243243243243
		Individual Median F1: 0.6914085063059693
		Individual Median F1: 0.6865499008592202
		Individual Median F1: 0.7076851166273015
		Individual Median F1: 0.6425404903655336
		Individual Median F1: 0.6938724168912848
		Individual Median F1: 0.6782276870892516
		Individual Median F1: 0.6895453711885033
		Individual Median F1: 0.7310134310134309
		Individual Median F1: 0.707037412666216
		Individual Median F1: 0.6985132894807209
		Individual Median F1: 0.6118905095502254
		Individual Median F1: 0.6963374028856826
		Individual Median F1: 0.6650887573964497
	Average F1 score:	0.6977415052789853
	Best Individual F1 score:	0.7923386134265227
	F1:	0.7923386134265227
	Extends:	0.8946965433404411
	Implements:	0.7793114748273269
	Field:	0.15440267544772923
	Argument:	0.21537185976770834
	Returns:	0.4671014216607089
	LocalVar:	0.014773774045144128
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.8229686037702334
	OwnFieldUse:	0.5691249683378583
	FieldUse:	0.06976008925470567
	Throws:	0.9814511806503545
	File_Horizontal:	0.27310980254584205
	File_LevelUp:	0.9729270275479804
	File_LevelDown:	0.4520221477939679
	Unknown:	0.540160690391862
Evaluating generation: 1
		Individual Median F1: 0.7438277665708624
		Individual Median F1: 0.7338562684198595
		Individual Median F1: 0.7667299565137503
		Individual Median F1: 0.7314779838434406
		Individual Median F1: 0.7221031628731895
		Individual Median F1: 0.7510342789598108
		Individual Median F1: 0.7248122594574298
		Individual Median F1: 0.729081772498858
		Individual Median F1: 0.7287106485024747
		Individual Median F1: 0.7741433021806854
		Individual Median F1: 0.7391257449505164
		Individual Median F1: 0.7589807452821152
		Individual Median F1: 0.7407949126434146
		Individual Median F1: 0.783187382193961
		Individual Median F1: 0.7759287365620327
		Individual Median F1: 0.7443936820320585
		Individual Median F1: 0.7344509419347826
		Individual Median F1: 0.7063300303153703
		Individual Median F1: 0.7988422912404687
		Individual Median F1: 0.7188799762329174
		Individual Median F1: 0.800616389407234
		Individual Median F1: 0.7263519557429163
		Individual Median F1: 0.7818475843945825
		Individual Median F1: 0.7361487585384365
		Individual Median F1: 0.700653690245773
		Individual Median F1: 0.7267725488757657
		Individual Median F1: 0.6795366795366796
		Individual Median F1: 0.7347184501176898
		Individual Median F1: 0.692024884141681
		Individual Median F1: 0.7492844308403536
	Average F1 score:	0.6740464944693886
	Best Individual F1 score:	0.800616389407234
	F1:	0.800616389407234
	Extends:	0.8946965433404411
	Implements:	0.5078420629394571
	Field:	0.15440267544772923
	Argument:	0.21537185976770834
	Returns:	0.31788662619878383
	LocalVar:	0.07765274662507493
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.8229686037702334
	OwnFieldUse:	0.9896351750211895
	FieldUse:	0.04938594872837798
	Throws:	0.17956029491456693
	File_Horizontal:	0.27310980254584205
	File_LevelUp:	0.4732212211033717
	File_LevelDown:	0.4520221477939679
	Unknown:	0.1797368297788997
Evaluating generation: 2
		Individual Median F1: 0.8140534765628817
		Individual Median F1: 0.7186363636363637
		Individual Median F1: 0.7956747079411786
		Individual Median F1: 0.7264549543410113
		Individual Median F1: 0.8021114384019407
		Individual Median F1: 0.6897374436824467
		Individual Median F1: 0.7836865253898441
		Individual Median F1: 0.7206711594003576
		Individual Median F1: 0.7572780665061056
		Individual Median F1: 0.7153951576062129
		Individual Median F1: 0.7311958874458875
		Individual Median F1: 0.7884777759882082
		Individual Median F1: 0.7182462927143778
		Individual Median F1: 0.7872573398808902
		Individual Median F1: 0.7808694010802093
		Individual Median F1: 0.7815934176199077
		Individual Median F1: 0.7311958874458875
		Individual Median F1: 0.8110767113863089
		Individual Median F1: 0.6819202695115103
		Individual Median F1: 0.8021298522844383
		Individual Median F1: 0.6812612410071942
		Individual Median F1: 0.790628166160081
		Individual Median F1: 0.7348322510822511
		Individual Median F1: 0.6727810650887573
		Individual Median F1: 0.7216117216117216
		Individual Median F1: 0.6637731833384009
		Individual Median F1: 0.7340067340067341
		Individual Median F1: 0.7239304812834224
		Individual Median F1: 0.7774157875771921
		Individual Median F1: 0.7726721763085399
	Average F1 score:	0.7325306392926145
	Best Individual F1 score:	0.8110767113863089
	F1:	0.8110767113863089
	Extends:	0.7949921014007229
	Implements:	0.7793114748273269
	Field:	0.9697531893905375
	Argument:	0.21537185976770834
	Returns:	0.9850795695079971
	LocalVar:	0.36141101320734514
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.586520881328588
	OwnFieldUse:	0.2395628594406466
	FieldUse:	0.44997914279452755
	Throws:	0.9814511806503545
