g3n3z: optimization of dependency weights using a genetic algorithm approach.
	g3n3z is a part of s4rdm3x tobias-dv-lnu.github.io/s4rdm3x/

Algorithm Parameters:
	system:	Apache
	individuals:	30
	generations:	300
	mutation chance:	0.1
	mutation amplitude:	0.2
	max age:	10
	tournament size:	4
	seed:	-1443018159
Evaluating generation: 0
		Individual Median F1: 0.7829694976076556
		Individual Median F1: 0.8032258064516129
		Individual Median F1: 0.773389355742297
		Individual Median F1: 0.7935819768904716
		Individual Median F1: 0.7411438156475897
		Individual Median F1: 0.7851021577747863
		Individual Median F1: 0.7793170422339815
		Individual Median F1: 0.7738673001866622
		Individual Median F1: 0.7544704935229685
		Individual Median F1: 0.7350528125767625
		Individual Median F1: 0.7760909935004642
		Individual Median F1: 0.7266931864545084
		Individual Median F1: 0.7800480769230769
		Individual Median F1: 0.7482742035873933
		Individual Median F1: 0.7697495498444917
		Individual Median F1: 0.7719482902868864
		Individual Median F1: 0.8028467908902691
		Individual Median F1: 0.7416561932690965
		Individual Median F1: 0.7961236201357126
		Individual Median F1: 0.7793170422339815
		Individual Median F1: 0.783382660167131
		Individual Median F1: 0.7722222222222221
		Individual Median F1: 0.786775956284153
		Individual Median F1: 0.7545155993431856
		Individual Median F1: 0.7919407894736843
		Individual Median F1: 0.7464027245636441
		Individual Median F1: 0.7580898457401268
		Individual Median F1: 0.7437300501595987
		Individual Median F1: 0.7710506280928817
		Individual Median F1: 0.774113879389893
	Average F1 score:	0.7735756982273821
	Best Individual F1 score:	0.7961236201357126
	F1:	0.7961236201357126
	Extends:	0.1219712686679425
	Implements:	0.750338770691535
	Field:	0.49230000898976833
	Argument:	0.05835945592041403
	Returns:	0.04453099860846299
	LocalVar:	0.6419129906527741
	MethodCall:	0.4734749186770437
	ConstructorCall:	0.6489647004556912
	OwnFieldUse:	0.7278904119339156
	FieldUse:	0.2038697772705621
	Throws:	0.04359143514421082
	File_Horizontal:	0.44871669059346686
	File_LevelUp:	0.23076014386837052
	File_LevelDown:	0.5118194264050673
	Unknown:	0.032128836641191594
Evaluating generation: 1
		Individual Median F1: 0.7897952669736902
		Individual Median F1: 0.7745961992473294
		Individual Median F1: 0.7973509933774835
		Individual Median F1: 0.8013157894736842
		Individual Median F1: 0.791304347826087
		Individual Median F1: 0.7664272412875766
		Individual Median F1: 0.7899649339933994
		Individual Median F1: 0.7598566308243727
		Individual Median F1: 0.7940452082535165
		Individual Median F1: 0.7765567765567766
		Individual Median F1: 0.779746338912134
		Individual Median F1: 0.794255941034439
		Individual Median F1: 0.7758163668151825
		Individual Median F1: 0.7807395307395306
		Individual Median F1: 0.7783830838785768
		Individual Median F1: 0.7796657317044902
		Individual Median F1: 0.7863823419378975
		Individual Median F1: 0.7655277269832139
		Individual Median F1: 0.7898019547325102
		Individual Median F1: 0.7862293956043955
		Individual Median F1: 0.7747366053016385
		Individual Median F1: 0.7629475147723322
		Individual Median F1: 0.7564426022706794
		Individual Median F1: 0.789261744966443
		Individual Median F1: 0.7762314380959041
		Individual Median F1: 0.7641982645905148
		Individual Median F1: 0.7519201228878648
		Individual Median F1: 0.7352261844403132
		Individual Median F1: 0.7564067083633144
		Individual Median F1: 0.7494988153818115
	Average F1 score:	0.7376952578960424
	Best Individual F1 score:	0.8013157894736842
	F1:	0.8013157894736842
	Extends:	0.9339466251647588
	Implements:	0.29985908696010244
	Field:	0.17375285370937765
	Argument:	0.5047218695263732
	Returns:	0.6558884647878856
	LocalVar:	0.4950768032714573
	MethodCall:	0.023676523279491102
	ConstructorCall:	0.7976689991514748
	OwnFieldUse:	0.48372762353756393
	FieldUse:	0.99910227806227
	Throws:	0.31438310289911264
	File_Horizontal:	0.18622000420780593
	File_LevelUp:	0.6037666993956239
	File_LevelDown:	0.7796050028481272
	Unknown:	0.21173168264630815
Evaluating generation: 2
		Individual Median F1: 0.762279446828803
		Individual Median F1: 0.7923444976076555
		Individual Median F1: 0.7633784041135022
		Individual Median F1: 0.7769603278077853
		Individual Median F1: 0.7627042900919305
		Individual Median F1: 0.7617283950617284
		Individual Median F1: 0.7710506280928816
		Individual Median F1: 0.7762314380959041
		Individual Median F1: 0.7520704949562351
		Individual Median F1: 0.7448101432137696
		Individual Median F1: 0.7755922566671178
		Individual Median F1: 0.7467867376176831
		Individual Median F1: 0.7629548485425794
		Individual Median F1: 0.7598590967883975
		Individual Median F1: 0.787015503875969
		Individual Median F1: 0.7574484523637066
		Individual Median F1: 0.762279446828803
		Individual Median F1: 0.7656557513100799
		Individual Median F1: 0.7678062678062678
		Individual Median F1: 0.7643922392525744
		Individual Median F1: 0.7730696798493408
		Individual Median F1: 0.7573706638900137
		Individual Median F1: 0.7448101432137695
		Individual Median F1: 0.7322230413511159
		Individual Median F1: 0.7812851405622491
		Individual Median F1: 0.7802630360285264
		Individual Median F1: 0.7644587325333418
		Individual Median F1: 0.7615432364035717
		Individual Median F1: 0.7780633382487185
		Individual Median F1: 0.7922651933701658
	Average F1 score:	0.7534028005866478
	Best Individual F1 score:	0.787015503875969
	F1:	0.787015503875969
	Extends:	0.7286100069712736
	Implements:	0.654273818587676
	Field:	0.49230000898976833
	Argument:	0.05835945592041403
	Returns:	0.04453099860846299
	LocalVar:	0.8715674315818318
	MethodCall:	0.4734749186770437
	ConstructorCall:	0.3124508594860187
	OwnFieldUse:	0.4260063599511691
	FieldUse:	0.5384780021705013
	Throws:	0.04359143514421082
	File_Horizontal:	0.8452686528631513
