g3n3z: optimization of dependency weights using a genetic algorithm approach.
	g3n3z is a part of s4rdm3x tobias-dv-lnu.github.io/s4rdm3x/

Algorithm Parameters:
	system:	TeamMates
	individuals:	30
	generations:	300
	mutation chance:	0.1
	mutation amplitude:	0.2
	max age:	10
	tournament size:	4
	seed:	-839603373
Evaluating generation: 0
		Individual Median F1: 0.43214959684336934
		Individual Median F1: 0.4021475802314313
		Individual Median F1: 0.37735505304897654
		Individual Median F1: 0.3505537098560354
		Individual Median F1: 0.40841523754283837
		Individual Median F1: 0.38160377358490566
		Individual Median F1: 0.3697778066246944
		Individual Median F1: 0.3885684919773882
		Individual Median F1: 0.3553820126280173
		Individual Median F1: 0.4245210727969349
		Individual Median F1: 0.3696771680803185
		Individual Median F1: 0.36593557081992867
		Individual Median F1: 0.40671822906886523
		Individual Median F1: 0.38295767346432147
		Individual Median F1: 0.36579851297882515
		Individual Median F1: 0.34282360831656605
		Individual Median F1: 0.3731943379411826
		Individual Median F1: 0.3523932643861044
		Individual Median F1: 0.45111111111111113
		Individual Median F1: 0.3650320943424392
		Individual Median F1: 0.4022688635367327
		Individual Median F1: 0.37160280626011866
		Individual Median F1: 0.40283615561255315
		Individual Median F1: 0.3733845955027139
		Individual Median F1: 0.38109665030936635
		Individual Median F1: 0.33886255924170616
		Individual Median F1: 0.4009683726771901
		Individual Median F1: 0.3865967365967366
		Individual Median F1: 0.33154285714285714
		Individual Median F1: 0.34080647149115434
	Average F1 score:	0.3913121248048737
	Best Individual F1 score:	0.45111111111111113
	F1:	0.45111111111111113
	Extends:	0.6581917436464896
	Implements:	0.24907845394311434
	Field:	0.7553335430632718
	Argument:	0.23511362849996964
	Returns:	0.7110030496759135
	LocalVar:	0.10993810730450271
	MethodCall:	0.005817163375733458
	ConstructorCall:	0.05839726442097626
	OwnFieldUse:	0.35591352289313527
	FieldUse:	0.4600539319505731
	Throws:	0.45773532496261793
	File_Horizontal:	0.035997658195359716
	File_LevelUp:	0.2018894021116585
	File_LevelDown:	0.2939824407185343
	Unknown:	0.9005023766135086
Evaluating generation: 1
		Individual Median F1: 0.4139986151411237
		Individual Median F1: 0.4457030481809243
		Individual Median F1: 0.46136480007447755
		Individual Median F1: 0.43657535086106514
		Individual Median F1: 0.4640945950962869
		Individual Median F1: 0.4298683744199656
		Individual Median F1: 0.47429443173150265
		Individual Median F1: 0.4109837204685328
		Individual Median F1: 0.4319784645734013
		Individual Median F1: 0.44850435441120784
		Individual Median F1: 0.4519587869527387
		Individual Median F1: 0.4901765777300197
		Individual Median F1: 0.4680777282593339
		Individual Median F1: 0.4470614317961948
		Individual Median F1: 0.46877890479251255
		Individual Median F1: 0.4966933387182271
		Individual Median F1: 0.45681204945431114
		Individual Median F1: 0.4439779637130552
		Individual Median F1: 0.43658835546475994
		Individual Median F1: 0.4243205112245322
		Individual Median F1: 0.4311474060970091
		Individual Median F1: 0.42373550067071725
		Individual Median F1: 0.46466753182548515
		Individual Median F1: 0.45007101712301745
		Individual Median F1: 0.4858265256015357
		Individual Median F1: 0.4578692108924667
		Individual Median F1: 0.46625038544557507
		Individual Median F1: 0.42943862910722225
		Individual Median F1: 0.46605703048180924
		Individual Median F1: 0.44992549572453905
	Average F1 score:	0.4366140127385475
	Best Individual F1 score:	0.4966933387182271
	F1:	0.4966933387182271
	Extends:	0.7913030834519117
	Implements:	0.4030520434374877
	Field:	0.6835756378270296
	Argument:	0.8717341044985409
	Returns:	0.7110030496759135
	LocalVar:	0.6615364691259945
	MethodCall:	0.005817163375733458
	ConstructorCall:	0.8154464890314443
	OwnFieldUse:	0.4967735331171781
	FieldUse:	0.22377950443409123
	Throws:	0.45773532496261793
	File_Horizontal:	0.6870280135925196
	File_LevelUp:	0.2018894021116585
	File_LevelDown:	0.2939824407185343
	Unknown:	0.06910751574856722
Evaluating generation: 2
		Individual Median F1: 0.49767439920241274
		Individual Median F1: 0.4945286971093423
		Individual Median F1: 0.4859968137677703
		Individual Median F1: 0.4762202753441802
		Individual Median F1: 0.49733021077283374
		Individual Median F1: 0.4697551123453673
		Individual Median F1: 0.45648600051374266
		Individual Median F1: 0.47758702908917505
		Individual Median F1: 0.4676843624212045
		Individual Median F1: 0.5347533783936116
		Individual Median F1: 0.5053171163614334
		Individual Median F1: 0.4824439879615917
		Individual Median F1: 0.46648073022312375
		Individual Median F1: 0.47345023207839093
		Individual Median F1: 0.5103315524827152
		Individual Median F1: 0.47401719308413015
		Individual Median F1: 0.4650048875855327
		Individual Median F1: 0.45732553891121663
		Individual Median F1: 0.5228834978323034
		Individual Median F1: 0.5162904703428649
		Individual Median F1: 0.5175349409664285
		Individual Median F1: 0.5036089271373474
		Individual Median F1: 0.4697551123453674
		Individual Median F1: 0.5417366946778712
		Individual Median F1: 0.5452055652065042
		Individual Median F1: 0.444774151005605
		Individual Median F1: 0.46544632883111603
		Individual Median F1: 0.541203389433768
		Individual Median F1: 0.5111129329780693
		Individual Median F1: 0.4739130434782608
	Average F1 score:	0.4738157792010596
	Best Individual F1 score:	0.5452055652065042
	F1:	0.5452055652065042
	Extends:	0.7913030834519117
	Implements:	0.557433860236753
	Field:	0.47387956228288675
	Argument:	0.6603899007716151
	Returns:	0.961477519013942
	LocalVar:	0.590178018200208
	MethodCall:	0.09709629295543765
	ConstructorCall:	0.7657265843138441
	OwnFieldUse:	0.28574493956680225
	FieldUse:	0.22377950443409123
	Throws:	0.3247193482816745
